player_image_url,player_name,player_country,player_club,player_position,player_stats_url
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Olabade Aluko,England,Leicester City,Defender,https://www.premierleague.com/en/players/619146/olabade-aluko/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/532534.png,Will Alves,England,Leicester City,Midfielder,https://www.premierleague.com/en/players/532534/will-alves/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/245824.png,Carlos Vinícius,Brazil,Fulham,Forward,https://www.premierleague.com/en/players/245824/carlos-vinicius/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/58822.png,Cédric Soares,Portugal,Arsenal,Defender,https://www.premierleague.com/en/players/58822/cedric-soares/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/235382.png,Steven Alzate,Colombia,Brighton and Hove Albion,Midfielder,https://www.premierleague.com/en/players/235382/steven-alzate/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/577974.png,Harry Amass,England,Manchester United,Defender,https://www.premierleague.com/en/players/577974/harry-amass/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Samuel Amissah,England,Fulham,Defender,https://www.premierleague.com/en/players/591385/samuel-amissah/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/499724.png,Sam Amo-Ameyaw,England,Southampton,Midfielder,https://www.premierleague.com/en/players/499724/sam-amo-ameyaw/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Mathis Amougou,France,Chelsea,Midfielder,https://www.premierleague.com/en/players/609640/mathis-amougou/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ato Ampah,England,Chelsea,Forward,https://www.premierleague.com/en/players/555853/ato-ampah/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/172912.png,Sofyan Amrabat,Morocco,Manchester United,Midfielder,https://www.premierleague.com/en/players/172912/sofyan-amrabat/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/447879.png,Joseph Anang,England,West Ham United,Goalkeeper,https://www.premierleague.com/en/players/447879/joseph-anang/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/174874.png,Joachim Andersen,Denmark,Fulham,Defender,https://www.premierleague.com/en/players/174874/joachim-andersen/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/215379.png,Elliot Anderson,England,Nottingham Forest,Midfielder,https://www.premierleague.com/en/players/215379/elliot-anderson/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Vincent Angelini,Scotland,Brentford,Goalkeeper,https://www.premierleague.com/en/players/563883/vincent-angelini/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/223332.png,Tino Anjorin,England,Chelsea,Midfielder,https://www.premierleague.com/en/players/223332/tino-anjorin/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Aarón Anselmino,Argentina,Chelsea,Defender,https://www.premierleague.com/en/players/622758/aaron-anselmino/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/444180.png,Jaidon Anthony,England,Bournemouth,Forward,https://www.premierleague.com/en/players/444180/jaidon-anthony/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/57531.png,Michail Antonio,Jamaica,West Ham United,Forward,https://www.premierleague.com/en/players/57531/michail-antonio/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Genesis Antwi,Sweden,Chelsea,Defender,https://www.premierleague.com/en/players/591382/genesis-antwi/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/180974.png,Joelinton,Brazil,Newcastle United,Midfielder,https://www.premierleague.com/en/players/180974/joelinton/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/436893.png,Julián Araujo,Mexico,Bournemouth,Defender,https://www.premierleague.com/en/players/436893/julian-araujo/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/433979.png,Cameron Archer,England,Southampton,Forward,https://www.premierleague.com/en/players/433979/cameron-archer/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/84182.png,Alphonse Areola,France,West Ham United,Goalkeeper,https://www.premierleague.com/en/players/84182/alphonse-areola/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/193204.png,Joe Aribo,Nigeria,Southampton,Midfielder,https://www.premierleague.com/en/players/193204/joe-aribo/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/155511.png,Adam Armstrong,England,Southampton,Forward,https://www.premierleague.com/en/players/155511/adam-armstrong/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Harrison Armstrong,England,Everton,Midfielder,https://www.premierleague.com/en/players/609873/harrison-armstrong/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/91047.png,Stuart Armstrong,Scotland,Southampton,Midfielder,https://www.premierleague.com/en/players/91047/stuart-armstrong/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/109745.png,Kepa,Spain,Bournemouth,Goalkeeper,https://www.premierleague.com/en/players/109745/kepa/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Benjamin Arthur,England,Brentford,Defender,https://www.premierleague.com/en/players/622536/benjamin-arthur/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Marco Asensio,Spain,Aston Villa,Forward,https://www.premierleague.com/en/players/174292/marco-asensio/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/441024.png,Harrison Ashby,Scotland,Newcastle United,Defender,https://www.premierleague.com/en/players/441024/harrison-ashby/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Noël Atom,Germany,Brighton and Hove Albion,Defender,https://www.premierleague.com/en/players/549014/noel-atom/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/214572.png,Brandon Austin,England,Tottenham Hotspur,Goalkeeper,https://www.premierleague.com/en/players/214572/brandon-austin/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/210156.png,Taiwo Awoniyi,Nigeria,Nottingham Forest,Forward,https://www.premierleague.com/en/players/210156/taiwo-awoniyi/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/509416.png,Yasin Ayari,Sweden,Brighton and Hove Albion,Midfielder,https://www.premierleague.com/en/players/509416/yasin-ayari/stats
