position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,25,9,4,86,41,45,84
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,20,14,4,69,34,35,74
3,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,21,8,9,72,44,28,71
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,20,9,9,64,43,21,69
5,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,38,20,6,12,68,47,21,66
6,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,19,9,10,58,51,7,66
7,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,38,19,8,11,58,46,12,65
8,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,38,16,13,9,66,59,7,61
9,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,38,15,11,12,58,46,12,56
10,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,38,16,8,14,66,57,9,56
11,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,38,15,9,14,54,54,0,54
12,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,38,13,14,11,51,51,0,53
13,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,11,15,12,42,44,-2,48
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,11,10,17,46,62,-16,43
15,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,11,9,18,44,54,-10,42
16,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,38,12,6,20,54,69,-15,42
17,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,11,5,22,64,65,-1,38
18,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,38,6,7,25,33,80,-47,25
19,https://resources.premierleague.com/premierleague25/badges/40.svg,Ipswich Town,38,4,10,24,36,82,-46,22
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,38,2,6,30,26,86,-60,12
