position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,4,4,0,0,11,3,8,12
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,4,3,1,0,6,1,5,10
3,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,4,3,1,0,6,3,3,10
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,4,3,0,1,7,1,6,9
5,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,4,3,0,1,7,6,1,9
6,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,4,2,2,0,6,2,4,8
7,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,4,2,2,0,4,2,2,8
8,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,4,2,1,1,8,5,3,7
9,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,4,2,0,2,6,6,0,6
10,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,4,2,0,2,5,5,0,6
11,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,4,1,2,1,5,5,0,5
12,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,4,1,2,1,4,4,0,5
13,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,4,1,1,2,6,4,2,4
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,4,1,1,2,5,6,-1,4
15,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,4,0,2,2,5,7,-2,2
16,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,4,0,2,2,4,7,-3,2
17,https://resources.premierleague.com/premierleague25/badges/40.svg,Ipswich Town,4,0,2,2,2,7,-5,2
18,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,4,0,1,3,4,11,-7,1
19,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,4,0,0,4,1,8,-7,0
20,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,4,0,0,4,4,13,-9,0
